target,gene,aliases,organism,pdb_id,filename,route_status,suggested_action
GBA,GBA1,"GBA1, Glucocerebrosidase, Acid beta-glucosidase",Homo sapiens,1OGS,NEUROLIB-HUMAN-GBA-RCSB-1OGS.pdb,PROMOTE_ROUTE,把现有 asset_only 资产加入正式路由；无需下载
FOLR1,FOLR1,Folate receptor alpha,Homo sapiens,4KM6,SOLIDLIB-HUMAN-FOLR1-RCSB-4KM6.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
FOLR1,FOLR1,Folate receptor alpha,Homo sapiens,4KM7,SOLIDLIB-HUMAN-FOLR1-RCSB-4KM7.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
FOLR1,FOLR1,Folate receptor alpha,Homo sapiens,4KMX,SOLIDLIB-HUMAN-FOLR1-RCSB-4KMX.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
Mesothelin,MSLN,MSLN,Homo sapiens,4F3F,SOLIDLIB-HUMAN-MSLN-FAB-RCSB-4F3F.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
Mesothelin,MSLN,MSLN,Homo sapiens,8FSL,SOLIDLIB-HUMAN-MSLN-VH-RCSB-8FSL.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
CEACAM6,CEACAM6,,Homo sapiens,4WHC,SOLIDLIB-HUMAN-CEACAM6-RCSB-4WHC.pdb,PROMOTE_ROUTE,把现有 asset_only 资产加入正式路由；无需下载
PSMA,FOLH1,"FOLH1, Prostate-specific membrane antigen",Homo sapiens,9HLW,SOLIDLIB-HUMAN-PSMA-VHH-RCSB-9HLW.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
PSMA,FOLH1,"FOLH1, Prostate-specific membrane antigen",Homo sapiens,9HVI,SOLIDLIB-HUMAN-PSMA-VHH-RCSB-9HVI.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
PSMA,FOLH1,"FOLH1, Prostate-specific membrane antigen",Homo sapiens,9HVL,SOLIDLIB-HUMAN-PSMA-VHH-RCSB-9HVL.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
PSMA,FOLH1,"FOLH1, Prostate-specific membrane antigen",Homo sapiens,9HVK,SOLIDLIB-HUMAN-PSMA-VHH-RCSB-9HVK.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
GPC3,GPC3,Glypican-3,Homo sapiens,9NTQ,SOLIDLIB-HUMAN-GPC3-RCSB-9NTQ.pdb,PROMOTE_ROUTE,把现有 asset_only 资产加入正式路由；无需下载
GPC3,GPC3,Glypican-3,Homo sapiens,9NTT,SOLIDLIB-HUMAN-GPC3-RCSB-9NTT.pdb,PROMOTE_ROUTE,把现有 asset_only 资产加入正式路由；无需下载
CAIX,CA9,"CA9, Carbonic anhydrase IX",Homo sapiens,6FE2,SOLIDLIB-HUMAN-CAIX-RCSB-6FE2.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
EpCAM,EPCAM,"EPCAM, TACSTD1",Homo sapiens,6I07,SOLIDLIB-HUMAN-EPCAM-SCFV-RCSB-6I07.pdb,PROMOTE_ROUTE,把现有 asset_only 资产加入正式路由；无需下载
B7-H4,VTCN1,VTCN1,Homo sapiens,4GOS,SOLIDLIB-HUMAN-B7H4-RCSB-4GOS.pdb,PROMOTE_ROUTE,把现有 asset_only 资产加入正式路由；无需下载
MET,MET,"MET receptor, HGF receptor, Hepatocyte growth factor receptor",Homo sapiens,6I04,SOLIDLIB-HUMAN-MET-FAB-RCSB-6I04.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
HER3,ERBB3,"ERBB3, ErbB3, HER3, Receptor tyrosine-protein kinase erbB-3",Homo sapiens,7D85,SOLIDLIB-HUMAN-HER3-FAB-RCSB-7D85.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
FGFR3,FGFR3,Fibroblast growth factor receptor 3,Homo sapiens,3GRW,SOLIDLIB-HUMAN-FGFR3-FAB-RCSB-3GRW.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
FGFR2,FGFR2,"Fibroblast growth factor receptor 2, FGFR2b",Homo sapiens,4WV1,SOLIDLIB-HUMAN-FGFR2-FAB-RCSB-4WV1.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
CD70,TNFSF7,"TNFSF7, CD27 ligand",Homo sapiens,7KX0,SOLIDLIB-HUMAN-CD70-RCSB-7KX0.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
SOST,SOST,Sclerostin,Homo sapiens,2K8P,BONELIB-HUMAN-SOST-RCSB-2K8P.pdb,PROMOTE_ROUTE,把现有 asset_only 资产加入正式路由；无需下载
SOST,SOST,Sclerostin,Homo sapiens,6L6R,BONELIB-HUMAN-SOST-LRP6-RCSB-6L6R.pdb,PROMOTE_ROUTE,把现有 asset_only 资产加入正式路由；无需下载
DKK1,DKK1,Dickkopf-related protein 1,Homo sapiens,5GJE,BONELIB-HUMAN-DKK1-RCSB-5GJE.pdb,PROMOTE_ROUTE,把现有 asset_only 资产加入正式路由；无需下载
RANKL,TNFSF11,"TNFSF11, TRANCE, Receptor activator of nuclear factor kappa-B ligand",Homo sapiens,3URF,BONELIB-HUMAN-RANKL-RCSB-3URF.pdb,PROMOTE_ROUTE,把现有 asset_only 资产加入正式路由；无需下载
